seed,month,temperature_like_value,split
42,1,6.985802945769092,fit
42,2,9.934082838594579,fit
42,3,15.927226245720831,fit
42,4,22.02763582768963,fit
42,5,23.629269988176386,fit
42,6,25.019035651660985,fit
42,7,25.90530941645326,fit
42,8,21.32092167498349,fit
42,9,14.88663073687806,fit
42,10,11.151072052303158,fit
42,11,6.333644730780661,fit
42,12,5.041124295715692,fit
42,13,7.280100688034856,fit
42,14,8.40406370641064,fit
42,15,13.68009860098435,fit
42,16,20.125254964910827,fit
42,17,23.294856693443084,fit
42,18,26.27709679911433,fit
42,19,23.520625147218936,fit
42,20,19.30523555839765,fit
42,21,17.808778522705868,fit
42,22,10.829068439416163,fit
42,23,7.570779807781131,fit
42,24,4.490302176543852,fit
42,25,6.936486692725399,fit
42,26,11.43310710765184,fit
42,27,14.96880770709323,fit
42,28,21.850837622014794,fit
42,29,24.389487609941824,fit
42,30,26.149967500248067,fit
42,31,24.488206103169116,fit
42,32,23.82273382141074,fit
42,33,16.633803330314468,fit
42,34,10.43074688525293,fit
42,35,9.076799856679433,fit
42,36,5.334987620034774,fit
42,37,8.440382276161323,fit
42,38,9.548395851344239,fit
42,39,15.356176741321876,fit
42,40,22.236233483042966,fit
42,41,26.596413933838868,fit
42,42,27.305641937427968,fit
42,43,25.671476098978513,fit
42,44,21.838675565292853,fit
42,45,15.47577361155906,fit
42,46,11.436186949926363,fit
42,47,8.13697943700386,fit
42,48,8.6685466714627,fit
42,49,9.202087909637768,fit
42,50,10.384351813564749,fit
42,51,17.938900763273743,fit
42,52,22.13790126350044,fit
42,53,25.497947637477225,fit
42,54,28.434011546609042,fit
42,55,27.647453464839508,fit
42,56,23.917536142939444,fit
42,57,16.84293897213288,fit
42,58,12.528945148978558,fit
42,59,9.687262079839883,fit
42,60,9.170654152546831,fit
42,61,8.814736876741268,fit
42,62,12.877209228003384,fit
42,63,16.822398031192755,fit
42,64,21.76455205110315,fit
42,65,27.88528502471741,fit
42,66,29.927488034284988,fit
42,67,26.923841891948005,fit
42,68,24.604239477470436,fit
42,69,18.88396323005721,fit
42,70,12.725856294473868,fit
42,71,10.323420688765706,fit
42,72,10.445643879759162,fit
42,73,9.946754715223634,validation
42,74,15.57757238697677,validation
42,75,15.606305875092293,validation
42,76,24.78628300525022,validation
42,77,27.61471051973018,validation
42,78,28.541191179440958,validation
42,79,27.72036696968701,validation
42,80,21.614917302478936,validation
42,81,18.786393734595038,validation
42,82,14.528535085814179,validation
42,83,12.263218815845429,validation
42,84,8.578075738071622,validation
42,85,9.619553638683787,validation
42,86,13.697891547698518,validation
42,87,20.448482541242402,validation
42,88,24.79450133159157,validation
42,89,27.474541793323922,validation
42,90,30.115920919736027,validation
42,91,28.326747097062057,validation
42,92,25.76237398863954,validation
42,93,18.807536287347233,validation
42,94,14.306805424082699,validation
42,95,10.619216178397021,validation
42,96,8.043782062241458,validation
42,97,11.545090294633065,blind_test
42,98,15.213266326615825,blind_test
42,99,19.956136147970934,blind_test
42,100,24.71849543994983,blind_test
42,101,27.011809147383875,blind_test
42,102,29.59522561268157,blind_test
42,103,28.398996618012287,blind_test
42,104,24.23726727693407,blind_test
42,105,20.056457146000774,blind_test
42,106,15.78486102817747,blind_test
42,107,13.953169043608284,blind_test
42,108,10.609493375398207,blind_test
42,109,12.098806431022892,blind_test
42,110,15.410664901080617,blind_test
42,111,18.24747454164113,blind_test
42,112,25.568183349460885,blind_test
42,113,29.382530289773598,blind_test
42,114,33.65589053498234,blind_test
42,115,29.179420880107028,blind_test
42,116,26.16185681080035,blind_test
42,117,20.808345876353766,blind_test
42,118,14.497586354856587,blind_test
42,119,13.661133339573674,blind_test
42,120,11.902319639224128,blind_test
